bank_name,branch_name,location,review,rating,date,sentiment_label,dominant_topic
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",Thank you so much,5,2023-09-06T16:22:57.529465Z,positive,Temps d'attente et expérience générale
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga","I entered once the door opened but I waited 30 minutes for nothing, one of the employees did not finish counting the money, the other went back and forth and ended up receiving a cup of coffee.",2,2022-08-06T08:59:25.445033Z,neutral,Temps d'attente et expérience générale
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",It is not possible to speak to a manager then to close the account you need a written request outside,1,2024-08-12T07:19:50.090120Z,neutral,Ouverture de compte en agence
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga","I had very bad behavior from a cashier who did not want to count the money withdrawn by check from my account, by the machine instead of counting it manually. She insulted me afterwards because I insisted that she do it, telling me ‘makhedamach 3and bak’. This is truly shameful and completely unacceptable. I'm super stunned. The so-called customer manager is called yousra barakat.",1,2020-01-17T17:57:50.253506Z,negative,Ouverture de compte en agence
Banque Populaire,"Banque Populaire - V3JP+JXP, Khouribga","V3JP+JXP, Khouribga",Place with best easements that people often need.,5,2024-03-17T13:55:29.992405Z,positive,Problèmes de communication (appels non répondus)
Groupe Banque,"Groupe Banque - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",Bad service,2,2019-10-17T12:37:23.459446Z,negative,Service client négatif
Groupe Banque,"Groupe Banque - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga","I do not recommend it, poor treatment and untrustworthy staff",1,2023-05-24T08:14:10.265284Z,positive,Service client négatif
Groupe Banque,"Groupe Banque - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",chofaraaa dawli 200 dh men 150 000 dh,1,2022-02-17T12:52:44.986465Z,neutral,Ouverture de compte en agence
Groupe Banque,"Groupe Banque - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",Omiiiiiii,5,2023-07-02T16:08:40.436107Z,neutral,Opérations bancaires et accès aux services
Groupe Banque,"Groupe Banque - V3PQ+HJ2, Khouribga","V3PQ+HJ2, Khouribga",good,4,2020-10-16T06:51:18.765144Z,positive,Avis positifs et satisfaction client
Attijariwafa Bank,"Attijariwafa Bank - V3PX+VR8, Khouribga","V3PX+VR8, Khouribga",bad,1,2021-10-22T08:43:33.425629Z,negative,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - V3PX+VR8, Khouribga","V3PX+VR8, Khouribga",good,5,2015-08-20T12:25:32.678Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - V3QM+VFF, Bd Beni Amir, Khouribga","V3QM+VFF, Bd Beni Amir, Khouribga",neutral,3,2017-10-07T10:16:20.065Z,neutral,Temps d'attente et expérience générale
CIH Bank,"CIH Bank - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",I've waited for 2 hours to get my turn 👎,1,2023-01-21T10:42:06.799277Z,neutral,Service client négatif
CIH Bank,"CIH Bank - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",long waiting time for some basics services,2,2023-02-18T16:04:27.199381Z,neutral,Service client négatif
CIH Bank,"CIH Bank - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Good customer service agency,5,2023-06-23T04:58:30.038284Z,positive,Service client négatif
CIH Bank,"CIH Bank - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Their act not professional,1,2023-10-10T10:47:51.237867Z,neutral,Opérations bancaires et accès aux services
CIH Bank,"CIH Bank - 5 Bd Marrakech, Khouribga","5 Bd Marrakech, Khouribga",Horrible customer service,1,2024-01-04T19:17:24.990394Z,negative,Service client négatif
CIH Bank,"CIH Bank - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres",Good customer service,4,2023-07-04T13:15:18.655414Z,positive,Service client négatif
CIH Bank,"CIH Bank - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres",Bad agency,1,2022-09-19T14:07:50.137310Z,negative,Service client négatif
CIH Bank,"CIH Bank - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Frankly speaking, the reception was not impressive, and my secrecy was so masculine that I advised you to walk exactly like this.",4,2024-03-15T12:15:02.913979Z,neutral,Temps d'attente et expérience générale
CIH Bank,"CIH Bank - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Most of the time I find the automatic windows empty of money...and for me this is disdain for the customer on the part of the bank, and because of that I put one star.",1,2024-04-27T09:39:46.745206Z,negative,Service client négatif
CIH Bank,"CIH Bank - Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Bd Mohammed VI, Rue Abdelkhalek Toress, Torres","Unfortunately, the behavior of the employees is bad, there is no respect for the customer, especially the person in charge of opening accounts and the security man who expels customers and despises them.",1,2022-12-27T09:39:43.711225Z,negative,Ouverture de compte en agence
Bank of Africa,"Bank of Africa - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",Line is down,1,2022-01-03T16:06:45.282258Z,neutral,Temps d'attente et expérience générale
Bank of Africa,"Bank of Africa - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga","Good morning
0* customer service
Unprofessional employees who were poorly polite and understood the managers.
No resonable answer to the questions, advice for residents abroad this bank has avoided for the ATM with foreign cards, most of the time the distributor takes time to take out the money, the customer leaves believing that the transaction could not pass after the money comes out there is someone else who recovers it and blames the customer when you make a complaint it takes 2 months minimum",1,2023-01-16T15:19:20.209052Z,negative,Ouverture de compte en agence
Bank of Africa,"Bank of Africa - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga","Very good agency, welcome, advice and respect.
I recommend, especially the director who is always attentive and attentive.",5,2023-09-14T07:27:32.367541Z,positive,Problèmes de communication (appels non répondus)
Bank of Africa,"Bank of Africa - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",bad,1,2025-01-15T11:02:06.976381Z,negative,Service client négatif
Bank of Africa,"Bank of Africa - V3PR+J5P Ensemble Artisanal, Khouribga","V3PR+J5P Ensemble Artisanal, Khouribga",good,4,2024-04-27T00:58:05.782346Z,positive,Avis positifs et satisfaction client
Bank of Africa,"Bank of Africa - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga","Moroccan Foreign Trade Bank,
Good service available",3,2023-10-14T16:34:59.475561Z,positive,Opérations bancaires et accès aux services
Bank of Africa,"Bank of Africa - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",Ayoub,5,2019-04-10T11:28:01.741341Z,neutral,Temps d'attente et expérience générale
Bank of Africa,"Bank of Africa - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",good,4,2020-12-02T22:37:49.346576Z,positive,Avis positifs et satisfaction client
Bank of Africa,"Bank of Africa - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",neutral,3,2018-10-15T10:16:20.511012Z,neutral,Temps d'attente et expérience générale
Bmci Bank,"Bmci Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Nuuuuuul poor staff service. And the call center never answers. They're scammers! Avoid this bank it is archaic even the application is outdated,1,2024-08-10T10:45:16.044922Z,negative,Service client négatif
Bmci Bank,"Bmci Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،","No service, just bla-bla, not even a smile or hello or goodbye, they only think about themselves and fill their pockets with immigrants' money. everything is paid and too expensive.
The staff is obliged to follow training in communications towards and especially immigrants because they have learned many things in Europe and its services whether they are poor or rich, they are always well received.",1,2022-07-07T10:47:47.169490Z,negative,Ouverture de compte en agence
Bmci Bank,"Bmci Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Akfas agency Bmci fa Morocco,1,2024-12-04T21:57:43.852806Z,neutral,Problèmes de communication (appels non répondus)
Bmci Bank,"Bmci Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Bad service especially the way of speaking,1,2021-09-07T12:17:06.089436Z,negative,Service client négatif
Bmci Bank,"Bmci Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",good,5,2021-08-01T15:53:18.343917Z,positive,Avis positifs et satisfaction client
Bmci,"Bmci - Boulevard Zallaga, Khouribga","Boulevard Zallaga, Khouribga",A big Zero from me,1,2024-10-23T11:11:09.116184Z,neutral,Service client négatif
Credit Agricole,"Credit Agricole - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Nice,5,2024-05-03T17:33:53.368661Z,positive,Avis positifs et satisfaction client
Credit Agricole,"Credit Agricole - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Poor service lack of staff lack of communication for a simple operation you have to wait all day,1,2022-11-17T09:47:58.629815Z,negative,Service client négatif
Credit Agricole,"Credit Agricole - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",This bank is 100% failed.,1,2024-05-21T12:04:57.792637Z,negative,Problèmes de communication (appels non répondus)
Credit Agricole,"Credit Agricole - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Terrible services...zero communication...,1,2018-09-11T10:41:42.801019Z,negative,Service client négatif
Credit Agricole,"Credit Agricole - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Good service,5,2024-08-10T21:41:41.752429Z,positive,Avis positifs et satisfaction client
Bank Of,"Bank Of - V3RC+656, Khouribga","V3RC+656, Khouribga",good,5,2017-11-26T16:50:37.648Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",With them only bad experiences 😓,1,2021-09-30T22:50:58.925218Z,negative,Service client négatif
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Nice,5,2022-05-06T12:04:35.398635Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Bakhakh abderrahim buona sera sono google Original from milano italiy my checking account from Back bladi bance populaire.ma khribga,5,2017-10-16T12:02:46.243Z,positive,Opérations bancaires et accès aux services
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Bellesmao,5,2016-01-27T01:10:40.487Z,neutral,Ouverture de compte en agence
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",good,5,2022-01-14T10:56:52.055701Z,positive,Avis positifs et satisfaction client
Bank Of,"Bank Of - V3MJ+MGG, Khouribga","V3MJ+MGG, Khouribga",good,5,2023-02-21T15:09:18.393510Z,positive,Avis positifs et satisfaction client
Bank Of,"Bank Of - V3MJ+MGG, Khouribga","V3MJ+MGG, Khouribga",bad,1,2020-05-14T17:57:33.019947Z,negative,Service client négatif
Cashplus Lamnara,Cashplus Lamnara - Sidi Slimane,Sidi Slimane,good,5,2021-08-26T14:22:44.723730Z,positive,Avis positifs et satisfaction client
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",Worst service,1,2024-02-04T11:19:41.374070Z,negative,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou","Lakart Kishi, Aloli Sir Makinash Connexion was not provided",1,2025-01-24T09:44:38.526960Z,neutral,Ouverture de compte en agence
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",Honesty 0 Treatment 0 Respect Disrespectful employees who treat you like an animal,1,2025-02-24T16:40:19.904739Z,positive,Service client négatif
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",The waiting period is very long. The female employees spend a lot of time talking nonsense with customers and leaving people waiting,1,2024-08-05T15:00:04.805427Z,negative,Problèmes de communication (appels non répondus)
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou","Take 4 hours and you will have a seizure. You will be fed up with the crowding of a crushed notebook
Add another unit to expand it",1,2024-01-18T19:50:08.345425Z,negative,Ouverture de compte en agence
Umnia Bank,"Umnia Bank - 5, N° 611, Lotissement Al ARZ, Azrou","5, N° 611, Lotissement Al ARZ, Azrou","Having come for a foreign exchange transaction, we had a great pleasure in speaking with the Director of the agency, a truly charming man. We will keep the best memories of our welcome in this very pleasant and very professional establishment.",5,2024-02-12T13:30:04.496658Z,positive,Problèmes de communication (appels non répondus)
CIH Bank,"CIH Bank - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",Normal bank but it's the only agency in the city so it gets too crowded which results in long time of waiting unless you go there when they open in the morning,3,2023-07-03T13:35:22.938484Z,neutral,Problèmes de communication (appels non répondus)
CIH Bank,"CIH Bank - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou","👌👌 Honestly, this is your building",1,2024-01-07T15:07:30.119531Z,positive,Opérations bancaires et accès aux services
CIH Bank,"CIH Bank - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou","Bank like the others,💵💶",4,2023-08-02T17:50:29.907916Z,positive,Opérations bancaires et accès aux services
CIH Bank,"CIH Bank - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",good,5,2024-06-24T07:56:54.538773Z,positive,Avis positifs et satisfaction client
CIH Bank,"CIH Bank - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",bad,2,2024-03-18T02:49:16.467501Z,negative,Service client négatif
Bank Of,"Bank Of - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",nice,5,2017-10-17T23:26:08.377Z,positive,Avis positifs et satisfaction client
Bank Of,"Bank Of - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou","Bank of Africa is one of the leading banks in the field of finance and business. Its employees are highly competent, responsible and professional",4,2023-09-23T09:24:16.543581Z,positive,Service client négatif
Bank Of,"Bank Of - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou","customer for over 15 years, I've never had any problems. customer charges, very severe director, I have never been on it from all points of view",4,2017-02-20T20:56:07.276Z,negative,Ouverture de compte en agence
Bank Of,"Bank Of - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",Lack of communication with customers,3,2017-06-02T11:09:22.150Z,negative,Service client négatif
Bank Of,"Bank Of - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",bad,1,2024-09-10T11:24:37.958457Z,negative,Service client négatif
Crédit Du,"Crédit Du - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",good,5,2023-12-08T00:12:33.239274Z,positive,Avis positifs et satisfaction client
Crédit Du,"Crédit Du - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",good,5,2023-10-15T21:15:54.553655Z,positive,Avis positifs et satisfaction client
Crédit Du,"Crédit Du - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",neutral,3,2022-11-26T22:26:27.172692Z,neutral,Temps d'attente et expérience générale
Bmci Bank,"Bmci Bank - CQVF+24J, N13, Azrou","CQVF+24J, N13, Azrou",Moderate service,2,2017-10-02T11:24:22.615Z,neutral,Service client négatif
Bmci Bank,"Bmci Bank - CQVF+24J, N13, Azrou","CQVF+24J, N13, Azrou",neutral,3,2015-12-03T18:37:14.501Z,neutral,Temps d'attente et expérience générale
Crédit Agricole,"Crédit Agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",Bank with mandatory or specific agricultural services. Responsive and flexible staff with customers.,4,2017-09-21T22:44:20.396Z,positive,Service client négatif
Crédit Agricole,"Crédit Agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2023-03-01T15:17:39.795107Z,neutral,Temps d'attente et expérience générale
Crédit Agricole,"Crédit Agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2023-01-20T12:26:47.599079Z,neutral,Temps d'attente et expérience générale
Crédit Agricole,"Crédit Agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2017-04-26T22:25:13.024Z,neutral,Temps d'attente et expérience générale
Crédit Agricole,"Crédit Agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",bad,2,2015-11-27T11:49:13.573Z,negative,Service client négatif
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Great people great service,5,2020-02-24T01:04:16.870507Z,positive,Temps d'attente et expérience générale
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",nice,5,2017-10-17T23:25:09.101Z,positive,Avis positifs et satisfaction client
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou","Processing of requests too slow, lack of professionalism of staff!!!",1,2022-07-15T08:15:59.984662Z,negative,Service client négatif
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Management and agency to flee,1,2022-06-23T13:28:18.948437Z,neutral,Problèmes de communication (appels non répondus)
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Modest services,3,2019-11-02T19:24:45.163744Z,neutral,Avis positifs et satisfaction client
الشعبي كاش,"الشعبي كاش - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou","Small and narrow place, you have to wait a lot outside",1,2024-09-15T22:21:00.734922Z,neutral,Temps d'attente et expérience générale
الشعبي كاش,"الشعبي كاش - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou","And yes
Deal at level",5,2025-01-22T19:45:20.107982Z,positive,Service client négatif
الشعبي كاش,"الشعبي كاش - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou",good,4,2024-05-09T19:50:47.681619Z,positive,Avis positifs et satisfaction client
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",Excellent 💯,5,2023-08-16T16:23:21.455446Z,positive,Opérations bancaires et accès aux services
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",good,5,2024-05-10T10:40:03.298929Z,positive,Avis positifs et satisfaction client
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",good,5,2022-12-31T21:17:04.529890Z,positive,Avis positifs et satisfaction client
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Bad service,1,2022-09-26T13:08:16.153812Z,negative,Service client négatif
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Zero customer service.  No respect null agency,1,2024-05-02T13:34:57.718723Z,positive,Service client négatif
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",No service and no staff,1,2023-11-10T14:04:25.569546Z,negative,Service client négatif
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Bad service,1,2021-09-15T14:46:05.012162Z,negative,Service client négatif
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",No service,1,2020-03-26T10:03:20.919275Z,negative,Service client négatif
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Bad communication..they don't answer phone calls,1,2024-12-28T13:12:37.960552Z,negative,Problèmes de communication (appels non répondus)
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Excellent service. A welcoming and efficient team. I recommend this bank,5,2024-08-15T15:09:39.136805Z,positive,Opérations bancaires et accès aux services
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh","Hello, no welcome, no professionalism, the staff looks at you and does not ask you any questions, neither hello, nor what can I do for you? limit you must go back to the wild and impose yourself immediately, sincerely avoid this agency and save time!!!",1,2022-09-21T11:43:50.223723Z,positive,Ouverture de compte en agence
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Staff is neither qualified nor professional. We have to wait months to be able to benefit from a simple service. Every visit to the agency is a disappointment.,1,2020-05-10T23:52:47.307762Z,neutral,Service client négatif
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",The phone is always out of coverage. Unconvincing answers if there is nothing new to motivate. The lottery between us is better than Hodshi Kamel,1,2020-06-04T10:06:27.157104Z,positive,Problèmes de communication (appels non répondus)
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Bad communication..they don't answer phone calls,1,2024-12-28T13:12:37.960552Z,negative,Problèmes de communication (appels non répondus)
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Excellent service. A welcoming and efficient team. I recommend this bank,5,2024-08-15T15:09:39.136805Z,positive,Opérations bancaires et accès aux services
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh","Hello, no welcome, no professionalism, the staff looks at you and does not ask you any questions, neither hello, nor what can I do for you? limit you must go back to the wild and impose yourself immediately, sincerely avoid this agency and save time!!!",1,2022-09-21T11:43:50.223723Z,positive,Ouverture de compte en agence
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Staff is neither qualified nor professional. We have to wait months to be able to benefit from a simple service. Every visit to the agency is a disappointment.,1,2020-05-10T23:52:47.307762Z,neutral,Service client négatif
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",The phone is always out of coverage. Unconvincing answers if there is nothing new to motivate. The lottery between us is better than Hodshi Kamel,1,2020-06-04T10:06:27.157104Z,positive,Problèmes de communication (appels non répondus)
