bank_name,branch_name,location,review,rating,date,sentiment_label
Banque BMCE,"Banque BMCE - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",Ayoub,5,2019-04-10T11:28:01.741341Z,neutral
Banque BMCE,"Banque BMCE - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",good,4,2020-12-02T22:37:49.346576Z,positive
Banque BMCE,"Banque BMCE - V3MF+GPR, Bd Palestine, Khouribga","V3MF+GPR, Bd Palestine, Khouribga",neutral,3,2018-10-15T10:16:20.511012Z,neutral
BMCI Bank,"BMCI Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Nuuuuuul poor staff service. And the call center never answers. They're scammers! Avoid this bank it is archaic even the application is outdated,1,2024-08-10T10:45:16.044922Z,negative
BMCI Bank,"BMCI Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،","No service, just bla-bla, not even a smile or hello or goodbye, they only think about themselves and fill their pockets with immigrants' money. everything is paid and too expensive.
The staff is obliged to follow training in communications towards and especially immigrants because they have learned many things in Europe and its services whether they are poor or rich, they are always well received.",1,2022-07-07T10:47:47.169490Z,negative
BMCI Bank,"BMCI Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Akfas agency Bmci fa Morocco,1,2024-12-04T21:57:43.852806Z,neutral
BMCI Bank,"BMCI Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",Bad service especially the way of speaking,1,2021-09-07T12:17:06.089436Z,negative
BMCI Bank,"BMCI Bank - 18 Rue du Four،, خريبڭة،","18 Rue du Four،, خريبڭة،",good,5,2021-08-01T15:53:18.343917Z,positive
BMCI,"BMCI - Boulevard Zallaga, Khouribga","Boulevard Zallaga, Khouribga",A big Zero from me,1,2024-10-23T11:11:09.116184Z,neutral
CREDIT AGRICOLE,"CREDIT AGRICOLE - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Nice,5,2024-05-03T17:33:53.368661Z,positive
CREDIT AGRICOLE,"CREDIT AGRICOLE - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Poor service lack of staff lack of communication for a simple operation you have to wait all day,1,2022-11-17T09:47:58.629815Z,negative
CREDIT AGRICOLE,"CREDIT AGRICOLE - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",This bank is 100% failed.,1,2024-05-21T12:04:57.792637Z,negative
CREDIT AGRICOLE,"CREDIT AGRICOLE - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Terrible services...zero communication...,1,2018-09-11T10:41:42.801019Z,negative
CREDIT AGRICOLE,"CREDIT AGRICOLE - V3PQ+CFW, Khouribga","V3PQ+CFW, Khouribga",Good service,5,2024-08-10T21:41:41.752429Z,positive
Bank of,"Bank of Africa - V3RC+656, Khouribga","V3RC+656, Khouribga",good,5,2017-11-26T16:50:37.648Z,positive
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",With them only bad experiences 😓,1,2021-09-30T22:50:58.925218Z,negative
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Nice,5,2022-05-06T12:04:35.398635Z,positive
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Bakhakh abderrahim buona sera sono google Original from milano italiy my checking account from Back bladi bance populaire.ma khribga,5,2017-10-16T12:02:46.243Z,positive
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",Bellesmao,5,2016-01-27T01:10:40.487Z,neutral
Banque Populaire,"Banque Populaire - V3X9+82R, Khouribga","V3X9+82R, Khouribga",good,5,2022-01-14T10:56:52.055701Z,positive
Bank of,"Bank of Africa - V3MJ+MGG, Khouribga","V3MJ+MGG, Khouribga",good,5,2023-02-21T15:09:18.393510Z,positive
Bank of,"Bank of Africa - V3MJ+MGG, Khouribga","V3MJ+MGG, Khouribga",bad,1,2020-05-14T17:57:33.019947Z,negative
Cashplus Lamnara,Cashplus Lamnara - Sidi Slimane,Sidi Slimane,good,5,2021-08-26T14:22:44.723730Z,positive
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",Worst service,1,2024-02-04T11:19:41.374070Z,negative
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou","Lakart Kishi, Aloli Sir Makinash Connexion was not provided",1,2025-01-24T09:44:38.526960Z,neutral
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",Honesty 0 Treatment 0 Respect Disrespectful employees who treat you like an animal,1,2025-02-24T16:40:19.904739Z,positive
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou",The waiting period is very long. The female employees spend a lot of time talking nonsense with customers and leaving people waiting,1,2024-08-05T15:00:04.805427Z,negative
Attijariwafa Bank,"Attijariwafa Bank - CQVC+GV4, N13, Azrou","CQVC+GV4, N13, Azrou","Take 4 hours and you will have a seizure. You will be fed up with the crowding of a crushed notebook
Add another unit to expand it",1,2024-01-18T19:50:08.345425Z,negative
Umnia Bank,"Umnia Bank Azrou - 5, N° 611, Lotissement Al ARZ, Azrou","5, N° 611, Lotissement Al ARZ, Azrou","Having come for a foreign exchange transaction, we had a great pleasure in speaking with the Director of the agency, a truly charming man. We will keep the best memories of our welcome in this very pleasant and very professional establishment.",5,2024-02-12T13:30:04.496658Z,positive
CIH BANK,"CIH BANK - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",Normal bank but it's the only agency in the city so it gets too crowded which results in long time of waiting unless you go there when they open in the morning,3,2023-07-03T13:35:22.938484Z,neutral
CIH BANK,"CIH BANK - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou","👌👌 Honestly, this is your building",1,2024-01-07T15:07:30.119531Z,positive
CIH BANK,"CIH BANK - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou","Bank like the others,💵💶",4,2023-08-02T17:50:29.907916Z,positive
CIH BANK,"CIH BANK - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",good,5,2024-06-24T07:56:54.538773Z,positive
CIH BANK,"CIH BANK - Ahdaf Route De Meknes، Bd Hassan II, Azrou","Ahdaf Route De Meknes، Bd Hassan II, Azrou",bad,2,2024-03-18T02:49:16.467501Z,negative
Bank of,"Bank of Africa - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",nice,5,2017-10-17T23:26:08.377Z,positive
Bank of,"Bank of Africa - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou","Bank of Africa is one of the leading banks in the field of finance and business. Its employees are highly competent, responsible and professional",4,2023-09-23T09:24:16.543581Z,positive
Bank of,"Bank of Africa - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou","customer for over 15 years, I've never had any problems. customer charges, very severe director, I have never been on it from all points of view",4,2017-02-20T20:56:07.276Z,negative
Bank of,"Bank of Africa - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",Lack of communication with customers,3,2017-06-02T11:09:22.150Z,negative
Bank of,"Bank of Africa - CQPH+8RJ, N13, Azrou","CQPH+8RJ, N13, Azrou",bad,1,2024-09-10T11:24:37.958457Z,negative
Crédit du,"Crédit du Maroc - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",good,5,2023-12-08T00:12:33.239274Z,positive
Crédit du,"Crédit du Maroc - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",good,5,2023-10-15T21:15:54.553655Z,positive
Crédit du,"Crédit du Maroc - CQRG+24V, N13, Azrou","CQRG+24V, N13, Azrou",neutral,3,2022-11-26T22:26:27.172692Z,neutral
BMCI Bank,"BMCI Bank - CQVF+24J, N13, Azrou","CQVF+24J, N13, Azrou",Moderate service,2,2017-10-02T11:24:22.615Z,neutral
BMCI Bank,"BMCI Bank - CQVF+24J, N13, Azrou","CQVF+24J, N13, Azrou",neutral,3,2015-12-03T18:37:14.501Z,neutral
Crédit agricole,"Crédit agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",Bank with mandatory or specific agricultural services. Responsive and flexible staff with customers.,4,2017-09-21T22:44:20.396Z,positive
Crédit agricole,"Crédit agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2023-03-01T15:17:39.795107Z,neutral
Crédit agricole,"Crédit agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2023-01-20T12:26:47.599079Z,neutral
Crédit agricole,"Crédit agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",neutral,3,2017-04-26T22:25:13.024Z,neutral
Crédit agricole,"Crédit agricole - CQQG+V67, P21, Azrou","CQQG+V67, P21, Azrou",bad,2,2015-11-27T11:49:13.573Z,negative
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Great people great service,5,2020-02-24T01:04:16.870507Z,positive
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",nice,5,2017-10-17T23:25:09.101Z,positive
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou","Processing of requests too slow, lack of professionalism of staff!!!",1,2022-07-15T08:15:59.984662Z,negative
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Management and agency to flee,1,2022-06-23T13:28:18.948437Z,neutral
Banque Populaire,"Banque Populaire - CQPJ+75R, N13, Azrou","CQPJ+75R, N13, Azrou",Modest services,3,2019-11-02T19:24:45.163744Z,neutral
الشعبي كاش,"الشعبي كاش بن دحمان chaabi cash azrou - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou","Small and narrow place, you have to wait a lot outside",1,2024-09-15T22:21:00.734922Z,neutral
الشعبي كاش,"الشعبي كاش بن دحمان chaabi cash azrou - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou","And yes
Deal at level",5,2025-01-22T19:45:20.107982Z,positive
الشعبي كاش,"الشعبي كاش بن دحمان chaabi cash azrou - امام البنك التجاري احداف, Azrou","امام البنك التجاري احداف, Azrou",good,4,2024-05-09T19:50:47.681619Z,positive
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",Excellent 💯,5,2023-08-16T16:23:21.455446Z,positive
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",good,5,2024-05-10T10:40:03.298929Z,positive
Chaabi Cash,"Chaabi Cash - CQVF+V22, Azrou","CQVF+V22, Azrou",good,5,2022-12-31T21:17:04.529890Z,positive
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Bad service,1,2022-09-26T13:08:16.153812Z,negative
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Zero customer service.  No respect null agency,1,2024-05-02T13:34:57.718723Z,positive
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",No service and no staff,1,2023-11-10T14:04:25.569546Z,negative
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",Bad service,1,2021-09-15T14:46:05.012162Z,negative
Bank Assafa,"Bank Assafa - Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger","Centrale laitière Tanger, N43, الطريق الوطنية رقم 1، Tanger",No service,1,2020-03-26T10:03:20.919275Z,negative
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Bad communication..they don't answer phone calls,1,2024-12-28T13:12:37.960552Z,negative
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Excellent service. A welcoming and efficient team. I recommend this bank,5,2024-08-15T15:09:39.136805Z,positive
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh","Hello, no welcome, no professionalism, the staff looks at you and does not ask you any questions, neither hello, nor what can I do for you? limit you must go back to the wild and impose yourself immediately, sincerely avoid this agency and save time!!!",1,2022-09-21T11:43:50.223723Z,positive
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Staff is neither qualified nor professional. We have to wait months to be able to benefit from a simple service. Every visit to the agency is a disappointment.,1,2020-05-10T23:52:47.307762Z,neutral
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",The phone is always out of coverage. Unconvincing answers if there is nothing new to motivate. The lottery between us is better than Hodshi Kamel,1,2020-06-04T10:06:27.157104Z,positive
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Bad communication..they don't answer phone calls,1,2024-12-28T13:12:37.960552Z,negative
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Excellent service. A welcoming and efficient team. I recommend this bank,5,2024-08-15T15:09:39.136805Z,positive
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh","Hello, no welcome, no professionalism, the staff looks at you and does not ask you any questions, neither hello, nor what can I do for you? limit you must go back to the wild and impose yourself immediately, sincerely avoid this agency and save time!!!",1,2022-09-21T11:43:50.223723Z,positive
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",Staff is neither qualified nor professional. We have to wait months to be able to benefit from a simple service. Every visit to the agency is a disappointment.,1,2020-05-10T23:52:47.307762Z,neutral
Bank Assafa,"Bank Assafa - J2F5+PXG, Marrakesh","J2F5+PXG, Marrakesh",The phone is always out of coverage. Unconvincing answers if there is nothing new to motivate. The lottery between us is better than Hodshi Kamel,1,2020-06-04T10:06:27.157104Z,positive
Bank populaire,"Bank populaire - HWVX+Q83, Av. Al Orouba, Marrakech","HWVX+Q83, Av. Al Orouba, Marrakech","If I coud give no stars, I'll definitely do that. Very poor customer service,  rude, impolite Manger. Came multiple time to open an account. Unable to handle customers needs.",1,2025-02-14T10:49:18.715281Z,negative
Bank populaire,"Bank populaire - HWVX+Q83, Av. Al Orouba, Marrakech","HWVX+Q83, Av. Al Orouba, Marrakech","They stole 2000DH from me through the ATM. I went to withdraw money with my card from another entity, the operation is apparently about to finish correctly because I heard that the bills were being counted, but at the moment of opening the flap to take out the bills, the ATM shows an error message that the operation could not be carried out and I do not get the money or a receipt that the operation has not been carried out.
When I went to complain to the director, she told me not to worry and that the amount would be returned to me 48 hours later (when I consulted my statement, that amount was blocked). Days later the refund is consolidated and I do not receive any credit of my money.

I am going to sue this entity for stealing from me.",1,2024-08-26T15:15:33.099234Z,negative
Bank populaire,"Bank populaire - HWVX+Q83, Av. Al Orouba, Marrakech","HWVX+Q83, Av. Al Orouba, Marrakech","Open the other counters to improve operation and make it easier and faster, the only open counter is on the telephone. I understand if it's a work phone code apart from the bank but it's all that, ((labas bikheR kidayRin hhhh wa bzzaf.))

We're tired of always being patient 🤦‍♂️🤦‍♂️🤦‍♂️.

We don't have time to wait all day for a transfer or to collect a money order.

Everyone has plenty of things to do during this wasted time...",2,2024-06-04T11:05:52.838978Z,negative
Bank populaire,"Bank populaire - HWVX+Q83, Av. Al Orouba, Marrakech","HWVX+Q83, Av. Al Orouba, Marrakech","Fait attack
Bed service
Ta3amol khaib bzaaaf",1,2024-12-04T12:36:50.013835Z,negative
Bank populaire,"Bank populaire - HWVX+Q83, Av. Al Orouba, Marrakech","HWVX+Q83, Av. Al Orouba, Marrakech","Staff up to par, Mr Ali, the director....",5,2024-05-31T20:05:21.640389Z,neutral
Attijariwafa Bank,"Attijariwafa Bank - 4 Bd Mohamed Zerktouni, Marrakech","4 Bd Mohamed Zerktouni, Marrakech","This building is run by absolute children. It’s an embarrassment to Moroccans everywhere.

The idea that anyone would do business as poorly as this Attijariwafa is absolutely shocking. I’ve spoken to almost every single person that works here including the manager and I’ve seen 2 years olds with more competence and better work ethic than this pathetic group of “adults”.

I made the mistake of going here and now I am trapped. I’m not allowed to do my business at any other location.

Avoid at all costs!!",1,2024-05-20T11:46:47.416789Z,negative
Attijariwafa Bank,"Attijariwafa Bank - 4 Bd Mohamed Zerktouni, Marrakech","4 Bd Mohamed Zerktouni, Marrakech",Services takes so long you think you ask for Russia visa,1,2024-08-05T12:58:11.612882Z,neutral
